condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,used_rag,n_passages_survived,top1_reasoning
CRAG_categoryGlossary_only,1,ಎನ್ನ ಯಜಮಾನ ಎನ್ನ ಕಾಸು ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,True,3,"The situation involves a dispute between a tenant and their landlord, which is a classic housing-related issue."
CRAG_categoryGlossary_only,2,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೊಲು ಕಾಸು ಕೊರ್ತಿಜ್ಜರೆ,My employer did not pay me this month,Work/Employment,,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,True,3,"The situation involves debt and financial difficulties, making Consumer/Money/Debt the most likely category."
CRAG_categoryGlossary_only,3,ಏರೋ ಎನ್ನ ಬೈಲಿ ತುಂಡು ಮಲ್ತ್‌ದ್ ಎಡ್ಡೆ ಮಲ್ತಿಜ್ಜಿ,Someone broke my fence and did not fix it,Torts/Individuals,,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,True,3,The situation involves a dispute over land and property rights.
CRAG_categoryGlossary_only,4,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,I gave someone money and they disappeared,Consumer/Money/Debt,,Estates/Wills,Torts/Individuals,Courts/Legal-System,0.80,False,False,False,True,3,"The situation appears to be related to inheritance or property rights, as it mentions a deceased person and their children."
CRAG_categoryGlossary_only,5,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The situation involves a dispute over property rights and the ownership of land or property.
CRAG_categoryGlossary_only,6,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,After someone hit me with a stick my hand hurts,Torts/Individuals,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,True,3,The situation appears to be related to financial difficulties and the person's inability to pay their debts.
CRAG_categoryGlossary_only,7,ಎನ್ನ ಧನಿ ಯಾನ್ ಪೋಡು ಪಂಡ ಪಂಡರೆ ಮಾತ್ರ ದಾಲ್ ಕಾರಣ ಕೊರ್ತಿಜ್ಜರ್,My boss told me to leave without any reason,Work/Employment,,Land/Property,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,True,3,The situation involves disputes over property ownership and inheritance.
CRAG_categoryGlossary_only,8,ಯಾನ್ ಕಾಸು ಸಾಲ ಕೊರ್ತಿನ ಜನ ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The person is facing a debt issue related to borrowing money and being asked to repay it with interest.
CRAG_categoryGlossary_only,9,ಎನ್ನ ಒಪ್ಪಿಗೆ ಇಜ್ಜಾಂದೆ ಏರೋ ಎನ್ನ ಇಲ್ಲ್‌ಗ್ ಬತ್ತೆ,Someone came into my house without my permission,Housing,Land/Property,Land/Property,Torts/Individuals,Housing,0.80,False,True,True,True,3,"The situation appears to be related to the person's home or property, and they are seeking permission or approval from someone else."
CRAG_categoryGlossary_only,10,ಅಕ್ಲೆಗ್ ಎಂಕುಲು ಏತ್ ನಿರ್ಣಯ ಮಲ್ತಿನ ಕಾಸು ಜಾಸ್ತಿ ಬೋಡು,They want more money than what we decided,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,True,3,"The situation involves a dispute over property and assets, suggesting a legal issue related to ownership or division of property."
