condition,id,display_text,english_gloss,retrieval_query,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top_retrieval_score,top_retrieved_case,retrieved_doc_names,top1_reasoning
A_WithGloss,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,My landlord did not give back my money,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.90,False,True,True,0.8327,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Sridhar P. | Premalatha,The situation involves a dispute over payment and the lack of return of funds.
A_WithGloss,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,My employer did not pay me this month,Work/Employment,,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,0.8182,Sridhar P. vs. Ramesh,Sridhar P. | Daneshwari | R.K. Usha Devi,The situation revolves around the person's employment and non-payment of salary.
A_WithGloss,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.90,True,True,False,0.8156,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Ravishankara G.K. | State,The person's problem involves someone else causing harm to their property.
A_WithGloss,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,0.8323,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Nikitha A.,The situation involves a financial transaction gone wrong.
A_WithGloss,5,enna nerakare enna jagga detae,My neighbor took my land,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.8183,Premalatha vs. Rathan Kumar B.V.,Premalatha | Nikitha A. | Dr. Alfred Aranha,The situation involves a dispute over ownership and possession of a piece of land.
A_WithGloss,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,After someone hit me with a stick my hand hurts,Torts/Individuals,,Torts/Individuals,Housing,Housing,0.90,True,True,False,0.8218,State vs. M. Shanthilal Manikylal,State | R.K. Usha Devi | Dr. Alfred Aranha,"The situation involves physical harm caused by another individual's actions, which falls under the realm of tort law."
A_WithGloss,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,My boss told me to leave without any reason,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.8161,Shanty Kokoth vs. Shankar Ganesh P.J.,Shanty Kokoth | State | Daneshwari,The situation involves an employment-related issue (being asked to leave by one's boss) that is not related to other categories.
A_WithGloss,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.8396,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Sridhar P.,"The situation involves lending and borrowing of money, which falls under the broader category of consumer finance."
A_WithGloss,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Housing,Courts/Legal-System,0.90,False,True,True,0.8384,Amith Ramachandra vs. Shantha,Amith Ramachandra | R.K. Usha Devi | State,Unauthorized entry into someone's property
A_WithGloss,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,They want more money than what we decided,Consumer/Money/Debt,,Torts/Individuals,Consumer/Money/Debt,Housing,0.90,False,True,True,0.8302,Sridhar P. vs. Ramesh,Sridhar P. | Manju K | Nikitha A.,The situation involves a dispute between two individuals over a financial matter.
A_WithGloss,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Courts/Legal-System,Housing,Work/Employment,0.80,False,True,True,0.8201,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Amith Ramachandra | Daneshwari,"The situation involves an agreement being ended prematurely, which likely requires legal intervention or guidance to resolve."
A_WithGloss,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Consumer/Money/Debt,Courts/Legal-System,0.90,False,True,True,0.8236,Sridhar P. vs. Ramesh,Sridhar P. | Gagan B.S. | Nikitha A.,"The situation involves an individual signing a document without understanding its implications, which could potentially lead to legal consequences or disputes."
A_WithGloss,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Torts/Individuals,Consumer/Money/Debt,Courts/Legal-System,0.90,False,True,True,0.8289,State vs. M. Shanthilal Manikylal,State | R.K. Usha Devi | Sridhar P.,The situation involves a breach of agreement or promise.
A_WithGloss,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,0.8249,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Akkamma | Sadashiva Shetty,The situation involves navigating the legal system and finding the correct court to resolve an issue.
A_WithGloss,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,False,True,True,0.8362,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Sridhar P. | R.K. Usha Devi,The primary issue is about someone owing money to the person.
A_WithGloss,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Housing,Land/Property,0.90,True,True,False,0.8088,Amith Ramachandra vs. Shantha,Amith Ramachandra | Ravishankara G.K. | Dr. Alfred Aranha,"The situation involves harm caused by one individual to another, which falls under tort law."
A_WithGloss,17,yera enna jagga-da mittae kenijja culud'd popujae,Someone is living on my land without asking and won't leave,Someone is living on my land without asking and won't leave,Land/Property,Housing,Land/Property,Torts/Individuals,Work/Employment,0.90,True,True,False,0.8250,Amith Ramachandra vs. Shantha,Amith Ramachandra | Dr. Alfred Aranha | Premalatha,The situation involves a dispute over ownership or possession of land.
A_WithGloss,18,betae jana aklena samanda mitte enna pudar pad'd maruwae,Someone is selling their things using my name,Someone is selling their things using my name,IP/Identity,,Torts/Individuals,Consumer/Money/Debt,IP/Identity,0.90,False,True,True,0.8226,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Amith Ramachandra | Sridhar P.,"The situation involves an individual's personal property being used without their consent, which falls under tort law."
A_WithGloss,19,enna parat dhoni enan posa belae soor malpere ontaiyare,My old employer is stopping me from starting my own work,My old employer is stopping me from starting my own work,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.8182,State vs. Sudhakar Pai (Manipal Advertising),State | Premalatha | Nikitha A.,The situation involves an individual's employment and their ability to start their own work being restricted by their previous employer.
A_WithGloss,20,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,After my father passed away my family took the land that was meant to be given to me,After my father passed away my family took the land that was meant to be given to me,Estates/Wills,Land/Property,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,0.8242,Gagan B.S. vs. Shivamurthy T.,Gagan B.S. | Amith Ramachandra | Sadashiva Shetty,The situation involves a dispute over land that was meant to be given to the person after their father's passing.
B_TuluOnly,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,enna yejamaana enna kas wapas koryiijare,Housing,Consumer/Money/Debt,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.80,False,False,False,0.8482,Amith Ramachandra vs. Shantha,Amith Ramachandra | Akkamma | Vishwajit Umesh Naik,The situation involves a dispute over living arrangements and possibly property or assets.
B_TuluOnly,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,enna dhani i thingoal kas koryijare,Work/Employment,,Consumer/Money/Debt,Housing,Work/Employment,0.90,False,True,True,0.8505,Gagan B.S. vs. Shivamurthy T.,Gagan B.S. | Sridhar P. | Vishwajit Umesh Naik,The situation revolves around the individual's financial struggles and lack of funds.
B_TuluOnly,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,yera enna bailee tundu maltd'd eddae maltijji,Torts/Individuals,,Estates/Wills,Land/Property,Torts/Individuals,0.80,False,True,True,0.8474,Shanty Kokoth vs. Shankar Ganesh P.J.,Shanty Kokoth | Premalatha | Dr. Alfred Aranha,"The situation involves a dispute over property rights, which is a common issue in this category."
B_TuluOnly,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,yan yera-g kas kori boca al poyal,Consumer/Money/Debt,,Estates/Wills,Land/Property,Torts/Individuals,0.80,False,False,False,0.8295,Sridhar P. vs. Ramesh,Sridhar P. | Amith Ramachandra | Dr. Alfred Aranha,"The phrase 'yan yera-g kas kori boca al poyal' suggests a dispute or issue related to inheritance or property rights, which is consistent with the Estates/Wills category."
