condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,used_rag,n_passages_survived,top1_reasoning
CRAG_judge_kannada,1,ಎನ್ನ ಯಜಮಾನ ಎನ್ನ ಕಾಸು ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,True,3,The situation involves a dispute between a tenant and their landlord regarding the return of a security deposit.
CRAG_judge_kannada,2,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೊಲು ಕಾಸು ಕೊರ್ತಿಜ್ಜರೆ,My employer did not pay me this month,Work/Employment,,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,True,3,The situation involves debt and financial difficulties.
CRAG_judge_kannada,3,ಏರೋ ಎನ್ನ ಬೈಲಿ ತುಂಡು ಮಲ್ತ್‌ದ್ ಎಡ್ಡೆ ಮಲ್ತಿಜ್ಜಿ,Someone broke my fence and did not fix it,Torts/Individuals,,Land/Property,Housing,Torts/Individuals,0.90,False,True,True,True,2,The situation involves issues with someone's home or property.
CRAG_judge_kannada,4,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,I gave someone money and they disappeared,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,True,2,The situation appears to involve a dispute over property rights.
CRAG_judge_kannada,5,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The situation involves disputes over property and inheritance.
CRAG_judge_kannada,6,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,After someone hit me with a stick my hand hurts,Torts/Individuals,,Work/Employment,IP/Identity,Courts/Legal-System,0.90,False,False,False,True,2,The situation revolves around the person's work and intellectual property disputes.
CRAG_judge_kannada,7,ಎನ್ನ ಧನಿ ಯಾನ್ ಪೋಡು ಪಂಡ ಪಂಡರೆ ಮಾತ್ರ ದಾಲ್ ಕಾರಣ ಕೊರ್ತಿಜ್ಜರ್,My boss told me to leave without any reason,Work/Employment,,Land/Property,Consumer/Money/Debt,Courts/Legal-System,0.90,False,False,False,True,3,The situation involves debt related to property or land.
CRAG_judge_kannada,8,ಯಾನ್ ಕಾಸು ಸಾಲ ಕೊರ್ತಿನ ಜನ ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The situation involves a debt issue and loan repayment.
CRAG_judge_kannada,9,ಎನ್ನ ಒಪ್ಪಿಗೆ ಇಜ್ಜಾಂದೆ ಏರೋ ಎನ್ನ ಇಲ್ಲ್‌ಗ್ ಬತ್ತೆ,Someone came into my house without my permission,Housing,Land/Property,Land/Property,Torts/Individuals,Work/Employment,0.90,False,True,True,True,3,The situation involves a dispute over ownership or possession of a property.
CRAG_judge_kannada,10,ಅಕ್ಲೆಗ್ ಎಂಕುಲು ಏತ್ ನಿರ್ಣಯ ಮಲ್ತಿನ ಕಾಸು ಜಾಸ್ತಿ ಬೋಡು,They want more money than what we decided,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,True,3,"The situation revolves around property and assets, specifically a gold chain and other valuables."
CRAG_judge_kannada,11,ಎಂಕುಲು ಯೆಪ್ಪ ಮುಗಿಡು ಪಂಡ ನಿರ್ಣಯ ಮಲ್ಪೊನೆರ್ದ್ ದುಂಬು ಮುಗಿಯೆರೆ,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Courts/Legal-System,Torts/Individuals,IP/Identity,0.90,False,True,True,True,3,"The situation involves a dispute over property rights and ownership, which is typically resolved through legal means."
CRAG_judge_kannada,12,ಯಾನ್ ಕಾಗಜಿದ ಮಿತ್ತ್ ಪುದರ್ ಪಾಡ್ಯೆ ಮಾತ್ರ ದಾದ ಬರೆದಿನ ಪಂಡ ಗೊತ್ತಿಜ್ಜಿ,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,IP/Identity,Courts/Legal-System,Work/Employment,0.90,False,True,True,True,3,"The situation involves business records and documents being withheld by a partner, which may be related to identity or intellectual property issues."
