condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,used_rag,n_passages_survived,top1_reasoning
CRAG_judge_kannada,1,ಎನ್ನ ಯಜಮಾನ ಎನ್ನ ಕಾಸು ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,True,3,The person is facing an issue related to their living arrangements.
CRAG_judge_kannada,2,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೊಲು ಕಾಸು ಕೊರ್ತಿಜ್ಜರೆ,My employer did not pay me this month,Work/Employment,,Torts/Individuals,Courts/Legal-System,Housing,0.90,False,False,False,True,3,The situation involves a dispute between individuals over property rights and access to their home.
CRAG_judge_kannada,3,ಏರೋ ಎನ್ನ ಬೈಲಿ ತುಂಡು ಮಲ್ತ್‌ದ್ ಎಡ್ಡೆ ಮಲ್ತಿಜ್ಜಿ,Someone broke my fence and did not fix it,Torts/Individuals,,Land/Property,Torts/Individuals,Consumer/Money/Debt,0.80,False,True,True,True,3,The situation involves a dispute over property rights and inheritance.
CRAG_judge_kannada,4,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Work/Employment,0.90,True,True,False,True,3,The situation primarily revolves around financial issues related to an accident involving the person's vehicle.
CRAG_judge_kannada,5,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The person is facing a dispute over their property.
CRAG_judge_kannada,6,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,After someone hit me with a stick my hand hurts,Torts/Individuals,,Consumer/Money/Debt,Torts/Individuals,Housing,0.80,False,True,True,True,3,The situation appears to be related to personal finance and the individual's ability to manage their expenses.
CRAG_judge_kannada,7,ಎನ್ನ ಧನಿ ಯಾನ್ ಪೋಡು ಪಂಡ ಪಂಡರೆ ಮಾತ್ರ ದಾಲ್ ಕಾರಣ ಕೊರ್ತಿಜ್ಜರ್,My boss told me to leave without any reason,Work/Employment,,Torts/Individuals,Consumer/Money/Debt,Courts/Legal-System,0.90,False,False,False,True,3,"The situation involves a dispute over payment of money between individuals, which falls under the category of torts."
CRAG_judge_kannada,8,ಯಾನ್ ಕಾಸು ಸಾಲ ಕೊರ್ತಿನ ಜನ ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,The person I lent money to is not returning it,Consumer/Money/Debt,,Estates/Wills,Torts/Individuals,Land/Property,0.90,False,False,False,True,3,The situation involves a dispute over an inheritance and property rights.
CRAG_judge_kannada,9,ಎನ್ನ ಒಪ್ಪಿಗೆ ಇಜ್ಜಾಂದೆ ಏರೋ ಎನ್ನ ಇಲ್ಲ್‌ಗ್ ಬತ್ತೆ,Someone came into my house without my permission,Housing,Land/Property,Housing,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The person is unable to enter their own house.
CRAG_judge_kannada,10,ಅಕ್ಲೆಗ್ ಎಂಕುಲು ಏತ್ ನಿರ್ಣಯ ಮಲ್ತಿನ ಕಾಸು ಜಾಸ್ತಿ ಬೋಡು,They want more money than what we decided,Consumer/Money/Debt,,Land/Property,Housing,Consumer/Money/Debt,0.90,False,True,True,True,3,The situation involves a family property and the person wants to know what decision they should take regarding it.
