model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
llama3,A,41,My neighbor's dog bit my child while we were walking,My neighbor's dog bit my child while we were walking,Torts/Individuals,,PARSE_FAILURE_NO_ANSWER,PARSE_FAILURE_NO_ANSWER,PARSE_FAILURE_NO_ANSWER,0.00,False,False,False,parse error
llama3,A,42,Someone crashed into my parked vehicle and drove away,Someone crashed into my parked vehicle and drove away,Torts/Individuals,,Torts/Individuals,Consumer/Money/Debt,Land/Property,0.90,True,True,False,The situation involves an injury or harm caused by another individual's actions.
llama3,A,43,A worker dropped something that injured me,A worker dropped something that injured me,Torts/Individuals,,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,True,True,False,The situation involves an injury caused by someone else's actions.
llama3,A,44,Someone spread lies about me that damaged my reputation in the village,Someone spread lies about me that damaged my reputation in the village,Torts/Individuals,,IP/Identity,Torts/Individuals,Work/Employment,0.90,False,True,True,The issue involves spreading false information about the person's identity and reputation.
llama3,A,45,My neighbor's cattle keep destroying my crops,My neighbor's cattle keep destroying my crops,Torts/Individuals,Land/Property,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,True,True,False,The situation involves a civil wrong caused by someone else's actions to the person's property.
llama3,A,46,I received a court notice but I don't understand what it is asking me to do,I received a court notice but I don't understand what it is asking me to do,Courts/Legal-System,,Torts/Individuals,Courts/Legal-System,Consumer/Money/Debt,0.80,False,True,True,"The person is receiving a court notice and seems to be unsure about what it's asking them to do, which suggests a legal issue related to their individual rights or responsibilities."
llama3,A,47,I missed a court date because no one explained when I needed to appear,I missed a court date because no one explained when I needed to appear,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Housing,0.90,True,True,False,The situation involves a missed court date due to lack of information about the appearance time.
llama3,A,48,I don't know how to file a complaint against my employer,I don't know how to file a complaint against my employer,Courts/Legal-System,Work/Employment,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,"The person is seeking guidance on how to file a complaint against their employer, which suggests an issue related to employment or workplace disputes."
llama3,A,49,The police would not register my complaint,The police would not register my complaint,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,The situation involves a legal process and the person's attempt to initiate a complaint with the police.
llama3,A,50,I was told I need a lawyer but I don't know how to find one,I was told I need a lawyer but I don't know how to find one,Courts/Legal-System,,PARSE_FAILURE_NO_ANSWER,PARSE_FAILURE_NO_ANSWER,PARSE_FAILURE_NO_ANSWER,0.00,False,False,False,parse error
llama3,A,51,Someone opened a loan in my name without my knowledge,Someone opened a loan in my name without my knowledge,IP/Identity,Consumer/Money/Debt,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,"The situation involves a loan being opened without the person's knowledge or consent, which is a classic example of a consumer debt issue."
llama3,A,52,My photo is being used in an advertisement without my permission,My photo is being used in an advertisement without my permission,IP/Identity,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,Unauthorized use of a person's image without consent
llama3,A,53,Someone is pretending to be me online to trick my relatives,Someone is pretending to be me online to trick my relatives,IP/Identity,,Torts/Individuals,Consumer/Money/Debt,Work/Employment,0.90,False,False,False,The person's identity has been stolen and someone is pretending to be them online to trick their relatives.
llama3,A,54,A shop is using my family's business name without asking,A shop is using my family's business name without asking,IP/Identity,,Work/Employment,IP/Identity,Torts/Individuals,0.80,False,True,True,"The person is concerned about their family's business name being used without permission, which suggests a work-related issue."
llama3,A,55,Someone stole the design of the products my family makes and sells,Someone stole the design of the products my family makes and sells,IP/Identity,,IP/Identity,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,"The problem involves someone stealing a design, which is an intellectual property issue."
llama3,A,56,My father died without a will and my siblings are dividing everything without me,My father died without a will and my siblings are dividing everything without me,Estates/Wills,,Estates/Wills,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The situation involves the distribution of a deceased person's assets without a will, which is a classic scenario in this category."
llama3,A,57,My mother's jewelry was promised to me but my brother took it after she died,My mother's jewelry was promised to me but my brother took it after she died,Estates/Wills,,Estates/Wills,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation involves inheritance and property rights after someone's death.
llama3,A,58,I found out my parents' house was sold after my father's death without our agreement,I found out my parents' house was sold after my father's death without our agreement,Estates/Wills,Land/Property,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.90,True,True,False,The situation involves the distribution of a deceased person's property without consent.
llama3,A,59,My uncle is refusing to share the property left by my grandfather,My uncle is refusing to share the property left by my grandfather,Estates/Wills,Land/Property,Estates/Wills,Land/Property,Torts/Individuals,0.90,True,True,False,The situation involves the distribution of property after someone's death and a dispute over inheritance.
llama3,A,60,After my husband passed away his family is not letting me stay in our house,After my husband passed away his family is not letting me stay in our house,Estates/Wills,Housing,Housing,Estates/Wills,Torts/Individuals,0.80,False,True,True,"The person is facing a problem with staying in their house after their husband's passing, which suggests an issue related to housing and property rights."
llama3,B,41,enkulu nadetonduittinapaga enna baritaklena nayi enna balen cuccind.,My neighbor's dog bit my child while we were walking,Torts/Individuals,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,The situation involves someone taking the person's land without permission.
llama3,B,42,ero enklena untondu ittina karg akd poyer.,Someone crashed into my parked vehicle and drove away,Torts/Individuals,,Land/Property,Torts/Individuals,Courts/Legal-System,0.80,False,True,True,The situation involves uncertainty about someone's property or assets.
