model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
sarvam,A,21,My landlord is trying to raise my rent before our agreement ends,My landlord is trying to raise my rent before our agreement ends,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Courts/Legal-System,0.90,True,True,False,"A dispute between a landlord and tenant regarding the terms of a rental agreement, specifically an attempt to raise rent before the agreement ends."
sarvam,A,22,The people next door make so much noise I cannot sleep at night,The people next door make so much noise I cannot sleep at night,Housing,Torts/Individuals,Torts/Individuals,Land/Property,Housing,0.75,False,True,True,"The situation describes a personal harm (inability to sleep) caused by the actions of others (neighbors making noise). This is a classic example of a tort, specifically a nuisance, which is a civil wrong causing harm or loss to another."
sarvam,A,23,My landlord will not fix the broken pipe in my kitchen,My landlord will not fix the broken pipe in my kitchen,Housing,,Housing,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,"This is a landlord-tenant dispute where the landlord is failing to perform a necessary repair (fixing a broken pipe) in the rented property. The issue is directly related to the condition and maintenance of the home, which is the core of Housing category."
sarvam,A,24,I was told to leave my rented house with only two days notice,I was told to leave my rented house with only two days notice,Housing,,Housing,Courts/Legal-System,Torts/Individuals,0.90,True,True,False,"The situation involves a dispute with a landlord over the terms of a rental agreement, specifically the notice period for leaving. This is a core issue within the Housing category, which covers landlord-tenant disputes and eviction."
sarvam,A,25,My roommate moved out and left me to pay all the rent,My roommate moved out and left me to pay all the rent,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Work/Employment,0.90,True,True,False,ಈ ಪರಿಸ್ಥಿತಿಯು ಭೂಮಾಲೀಕ-ಬಾಡಿಗೆದಾರರ ಸಂಬಂಧಕ್ಕೆ ಸಂಬಂಧಿಸಿದೆ. ಇಲ್ಲಿ ಬಾಡಿಗೆದಾರನು ತನ್ನ ರೂಮ್‌ಮೇಟ್ ಹೊರಟುಹೋದ ನಂತರವೂ ಬಾಡಿಗೆ ಪಾವತಿಸಬೇಕಾದ ಅನಿವಾರ್ಯತೆಯನ್ನು ಎದುರಿಸುತ್ತಿದ್ದಾನೆ. ಇದು ವಸತಿ ವರ್ಗದ ಪ್ರಮುಖ ಲಕ್ಷಣವಾಗಿದೆ.
sarvam,A,26,The shop owner sold me a broken phone and won't give my money back,The shop owner sold me a broken phone and won't give my money back,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The situation involves a purchase of a product (phone) and a dispute over its condition, leading to a demand for a refund. This is a classic consumer issue involving a financial transaction and a breach of the implied warranty of merchantability."
sarvam,A,27,I paid for a service that was never completed,I paid for a service that was never completed,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"A service was paid for but never completed, which is a breach of a service agreement and a financial transaction where money was exchanged for a promised service that was not delivered."
sarvam,A,28,My brother borrowed money from me two years ago and still has not paid,My brother borrowed money from me two years ago and still has not paid,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Work/Employment,0.95,True,True,False,"The situation describes a financial dispute over an unpaid loan from a family member. This directly falls under the category of money owed but not paid, which is a core example of Consumer/Money/Debt. The relationship is personal, not commercial, but the nature of the problem is a monetary obligation that has not been met."
sarvam,A,29,The bank is charging me fees I never agreed to,The bank is charging me fees I never agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,True,True,False,"The situation involves a financial institution charging fees without the customer's agreement, which is a dispute over payment and contract terms. This is a classic consumer issue."
sarvam,A,30,Someone convinced me to invest in something that turned out to be fake,Someone convinced me to invest in something that turned out to be fake,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The situation involves a financial transaction where money was paid based on a fraudulent promise, leading to a loss. This is a classic consumer/money issue where a service or investment was not as advertised, constituting a breach of an agreement."
